index,weight_0,weight_1
0,186505.0,22665.0
1,186514.0,22660.0
2,186519.0,22656.0
3,186524.0,22654.0
4,186527.0,22653.0
5,186528.0,22651.0
6,186529.0,22642.0
7,186538.0,22637.0
8,186543.0,22633.0
9,186548.0,22631.0
10,186551.0,22630.0
11,186552.0,22628.0
12,186557.0,22624.0
13,186559.0,22614.0
14,186568.0,22609.0
15,186569.0,22588.0
16,186578.0,22583.0
17,186583.0,22579.0
18,186588.0,22577.0
19,186591.0,22576.0
20,186592.0,22574.0
21,186593.0,22565.0
22,186602.0,22560.0
23,186607.0,22556.0
24,186612.0,22554.0
25,186615.0,22553.0
26,186616.0,22551.0
27,186621.0,22547.0
28,186623.0,22537.0
29,186632.0,22532.0
30,186637.0,22528.0
31,186642.0,22526.0
32,186645.0,22524.0
33,186646.0,22523.0
34,186647.0,22514.0
35,186656.0,22509.0
36,186661.0,22505.0
37,186666.0,22503.0
38,186669.0,22502.0
39,186670.0,22500.0
40,186675.0,22496.0
41,186680.0,22494.0
42,186682.0,22487.0
43,186685.0,22486.0
44,186686.0,22478.0
45,186695.0,22473.0
46,186700.0,22469.0
47,186705.0,22467.0
48,186706.0,22464.0
49,186710.0,22455.0
50,186719.0,22450.0
51,186724.0,22446.0
52,186729.0,22444.0
53,186732.0,22443.0
54,186733.0,22441.0
55,186736.0,22436.0
56,186739.0,22435.0
57,186740.0,22427.0
58,186749.0,22422.0
59,186754.0,22418.0
60,186759.0,22416.0
61,186760.0,22413.0
62,186764.0,22404.0
63,186773.0,22399.0
64,186778.0,22395.0
65,186783.0,22393.0
66,186786.0,22392.0
67,186787.0,22390.0
68,186792.0,22386.0
69,186797.0,22384.0
70,186799.0,22377.0
71,186802.0,22376.0
72,186808.0,22372.0
73,186811.0,22371.0
74,186813.0,22368.0
75,186816.0,22363.0
76,186823.0,22354.0
77,186832.0,22348.0
78,186837.0,22345.0
79,186841.0,22343.0
80,186845.0,22342.0
81,186846.0,22339.0
82,186851.0,22336.0
83,186853.0,22326.0
84,186856.0,22325.0
85,186862.0,22321.0
86,186865.0,22320.0
87,186867.0,22317.0
88,186870.0,22316.0
89,186872.0,22315.0
90,186875.0,22313.0
91,186876.0,22312.0
92,186877.0,22303.0
93,186886.0,22298.0
94,186891.0,22294.0
95,186896.0,22292.0
96,186899.0,22291.0
97,186900.0,22289.0
98,186905.0,22285.0
99,186908.0,22284.0
100,186910.0,22283.0
101,186913.0,22282.0
102,186914.0,22280.0
103,186917.0,22279.0
104,186919.0,22276.0
105,186922.0,22275.0
106,186924.0,22274.0
107,186927.0,22273.0
108,186928.0,22271.0
109,186929.0,22262.0
110,186938.0,22257.0
111,186943.0,22253.0
112,186948.0,22251.0
113,186951.0,22250.0
114,186952.0,22248.0
115,186957.0,22246.0
116,186960.0,22245.0
117,186962.0,22242.0
118,186965.0,22241.0
119,186967.0,22240.0
120,186970.0,22239.0
121,186971.0,22237.0
122,186974.0,22236.0
123,186976.0,22235.0
124,186979.0,22234.0
125,186981.0,22231.0
126,186984.0,22230.0
127,186989.0,22228.0
128,186990.0,22226.0
129,186993.0,22225.0
130,186998.0,22223.0
131,187000.0,22222.0
132,187003.0,22219.0
133,187009.0,22217.0
134,187012.0,22214.0
135,187019.0,22212.0
136,187022.0,22210.0
137,187027.0,22208.0
138,187030.0,22207.0
139,187031.0,22205.0
140,187036.0,22203.0
141,187039.0,22202.0
142,187040.0,22201.0
143,187041.0,22200.0
144,187045.0,22199.0
145,187047.0,22198.0
146,187050.0,22195.0
147,187053.0,22194.0
148,187055.0,22193.0
149,187057.0,22192.0
150,187059.0,22190.0
151,187062.0,22189.0
152,187064.0,22188.0
153,187066.0,22187.0
154,187069.0,22184.0
155,187072.0,22183.0
156,187076.0,22181.0
157,187078.0,22179.0
158,187081.0,22178.0
159,187085.0,22176.0
160,187088.0,22175.0
161,187091.0,22172.0
162,187097.0,22170.0
163,187098.0,22169.0
164,187100.0,22167.0
165,187107.0,22164.0
166,187110.0,22163.0
167,187114.0,22162.0
168,187115.0,22161.0
169,187117.0,22160.0
170,187119.0,22158.0
171,187124.0,22156.0
172,187126.0,22155.0
173,187129.0,22153.0
174,187134.0,22152.0
175,187135.0,22151.0
176,187136.0,22150.0
177,187139.0,22149.0
178,187142.0,22147.0
179,187145.0,22145.0
180,187148.0,22144.0
181,187150.0,22143.0
182,187151.0,22142.0
183,187154.0,22140.0
184,187157.0,22139.0
185,187159.0,22138.0
186,187161.0,22136.0
187,187164.0,22134.0
188,187167.0,22133.0
189,187169.0,22132.0
190,187170.0,22131.0
191,187173.0,22129.0
192,187176.0,22128.0
193,187178.0,22127.0
194,187180.0,22125.0
195,187183.0,22123.0
196,187186.0,22120.0
197,187192.0,22118.0
198,187195.0,22115.0
199,187200.0,22111.0
200,187205.0,22109.0
201,187208.0,22108.0
202,187209.0,22106.0
203,187214.0,22102.0
204,187219.0,22100.0
205,187221.0,22093.0
206,187224.0,22092.0
207,187230.0,22088.0
208,187233.0,22087.0
209,187235.0,22084.0
210,187238.0,22079.0
211,187245.0,22070.0
212,187254.0,22064.0
213,187259.0,22061.0
214,187263.0,22059.0
215,187267.0,22058.0
216,187268.0,22055.0
217,187273.0,22052.0
218,187275.0,22042.0
219,187278.0,22041.0
220,187284.0,22037.0
221,187287.0,22036.0
222,187289.0,22033.0
223,187292.0,22032.0
224,187294.0,22031.0
225,187297.0,22029.0
226,187298.0,22028.0
227,187299.0,22019.0
228,187308.0,22014.0
229,187313.0,22010.0
230,187318.0,22008.0
231,187321.0,22007.0
232,187322.0,22005.0
233,187327.0,22001.0
234,187330.0,22000.0
235,187332.0,21999.0
236,187335.0,21998.0
237,187336.0,21996.0
238,187339.0,21995.0
239,187341.0,21992.0
240,187344.0,21991.0
241,187346.0,21990.0
242,187349.0,21989.0
243,187350.0,21987.0
244,187351.0,21978.0
245,187360.0,21973.0
246,187365.0,21969.0
247,187370.0,21967.0
248,187373.0,21966.0
249,187374.0,21964.0
250,187379.0,21962.0
251,187382.0,21961.0
252,187384.0,21958.0
253,187387.0,21957.0
254,187389.0,21956.0
255,187392.0,21955.0
256,187393.0,21953.0
257,187396.0,21952.0
258,187398.0,21951.0
259,187401.0,21950.0
260,187403.0,21947.0
261,187406.0,21946.0
262,187411.0,21944.0
263,187412.0,21942.0
264,187415.0,21941.0
265,187420.0,21939.0
266,187422.0,21938.0
267,187425.0,21935.0
268,187431.0,21933.0
269,187434.0,21930.0
270,187441.0,21928.0
271,187444.0,21926.0
272,187449.0,21924.0
273,187452.0,21923.0
274,187453.0,21921.0
275,187458.0,21919.0
276,187461.0,21918.0
277,187462.0,21917.0
278,187463.0,21916.0
279,187467.0,21915.0
280,187469.0,21914.0
281,187472.0,21911.0
282,187475.0,21910.0
283,187477.0,21909.0
284,187479.0,21908.0
285,187481.0,21906.0
286,187484.0,21905.0
287,187486.0,21904.0
288,187488.0,21903.0
289,187491.0,21900.0
290,187494.0,21899.0
291,187498.0,21897.0
292,187500.0,21895.0
293,187503.0,21894.0
294,187507.0,21892.0
295,187510.0,21891.0
296,187513.0,21888.0
297,187519.0,21886.0
298,187520.0,21885.0
299,187522.0,21883.0
300,187529.0,21880.0
301,187532.0,21879.0
302,187536.0,21878.0
303,187537.0,21877.0
304,187539.0,21876.0
305,187541.0,21874.0
306,187546.0,21872.0
307,187548.0,21871.0
308,187551.0,21869.0
309,187556.0,21868.0
310,187557.0,21867.0
311,187558.0,21866.0
312,187561.0,21865.0
313,187564.0,21863.0
314,187567.0,21861.0
315,187570.0,21860.0
316,187572.0,21859.0
317,187573.0,21858.0
318,187576.0,21856.0
319,187579.0,21855.0
320,187581.0,21854.0
321,187583.0,21852.0
322,187586.0,21850.0
323,187589.0,21849.0
324,187591.0,21848.0
325,187592.0,21847.0
