index,weight_0,weight_1
0,182188.0,21786.0
1,182190.0,21780.0
2,182200.0,21776.0
3,182203.0,21771.0
4,182211.0,21768.0
5,182213.0,21767.0
6,182218.0,21765.0
7,182221.0,21764.0
8,182224.0,21759.0
9,182234.0,21735.0
10,182236.0,21729.0
11,182246.0,21725.0
12,182249.0,21720.0
13,182259.0,21716.0
14,182264.0,21714.0
15,182274.0,21710.0
16,182281.0,21699.0
17,182283.0,21693.0
18,182293.0,21689.0
19,182298.0,21687.0
20,182308.0,21683.0
21,182317.0,21681.0
22,182320.0,21679.0
23,182322.0,21677.0
24,182324.0,21671.0
25,182332.0,21670.0
26,182334.0,21667.0
27,182337.0,21662.0
28,182344.0,21656.0
29,182354.0,21652.0
30,182357.0,21647.0
31,182367.0,21643.0
32,182368.0,21626.0
33,182370.0,21620.0
34,182380.0,21616.0
35,182383.0,21611.0
36,182393.0,21607.0
37,182398.0,21605.0
38,182408.0,21601.0
39,182415.0,21590.0
40,182417.0,21584.0
41,182427.0,21580.0
42,182432.0,21578.0
43,182442.0,21574.0
44,182451.0,21572.0
45,182454.0,21570.0
46,182456.0,21569.0
47,182461.0,21568.0
48,182464.0,21566.0
49,182466.0,21561.0
50,182476.0,21553.0
51,182478.0,21547.0
52,182488.0,21543.0
53,182491.0,21538.0
54,182501.0,21534.0
55,182506.0,21532.0
56,182516.0,21528.0
57,182523.0,21517.0
58,182525.0,21511.0
59,182535.0,21507.0
60,182540.0,21505.0
61,182550.0,21501.0
62,182559.0,21499.0
63,182562.0,21497.0
64,182564.0,21496.0
65,182569.0,21495.0
66,182572.0,21493.0
67,182574.0,21488.0
68,182584.0,21484.0
69,182601.0,21482.0
70,182606.0,21481.0
71,182608.0,21476.0
72,182611.0,21474.0
73,182613.0,21473.0
74,182618.0,21472.0
75,182621.0,21470.0
76,182623.0,21469.0
77,182631.0,21468.0
78,182639.0,21465.0
79,182641.0,21464.0
80,182645.0,21462.0
81,182647.0,21461.0
82,182650.0,21459.0
83,182655.0,21458.0
84,182657.0,21457.0
85,182660.0,21455.0
86,182668.0,21454.0
87,182670.0,21453.0
88,182675.0,21452.0
89,182676.0,21451.0
90,182678.0,21450.0
91,182680.0,21449.0
92,182684.0,21447.0
93,182692.0,21446.0
94,182694.0,21443.0
95,182702.0,21442.0
96,182704.0,21441.0
97,182705.0,21440.0
98,182707.0,21439.0
99,182712.0,21438.0
100,182714.0,21437.0
101,182715.0,21435.0
102,182725.0,21431.0
103,182732.0,21425.0
104,182742.0,21421.0
105,182745.0,21416.0
106,182755.0,21412.0
107,182760.0,21410.0
108,182770.0,21406.0
109,182777.0,21395.0
110,182779.0,21389.0
111,182789.0,21385.0
112,182794.0,21383.0
113,182804.0,21379.0
114,182813.0,21377.0
115,182816.0,21375.0
116,182818.0,21374.0
117,182823.0,21373.0
118,182826.0,21371.0
119,182828.0,21366.0
120,182838.0,21362.0
