index,weight_0,weight_1
0,1894740.0,227090.0
1,1894760.0,227030.0
2,1894860.0,226990.0
3,1894890.0,226940.0
4,1894970.0,226910.0
5,1894990.0,226900.0
6,1895040.0,226880.0
7,1895070.0,226870.0
8,1895100.0,226820.0
9,1895190.0,226810.0
10,1895200.0,226580.0
11,1895220.0,226520.0
12,1895320.0,226480.0
13,1895350.0,226430.0
14,1895450.0,226390.0
15,1895500.0,226370.0
16,1895600.0,226330.0
17,1895650.0,226300.0
18,1895670.0,226220.0
19,1895690.0,226160.0
20,1895790.0,226120.0
21,1895840.0,226100.0
22,1895940.0,226060.0
23,1895990.0,226030.0
24,1896060.0,226020.0
25,1896080.0,226000.0
26,1896090.0,225990.0
27,1896100.0,225940.0
28,1896180.0,225930.0
29,1896200.0,225900.0
30,1896230.0,225850.0
31,1896300.0,225790.0
32,1896400.0,225750.0
33,1896430.0,225700.0
34,1896530.0,225660.0
35,1896540.0,225490.0
36,1896560.0,225430.0
37,1896660.0,225390.0
38,1896690.0,225340.0
39,1896790.0,225300.0
40,1896840.0,225280.0
41,1896940.0,225240.0
42,1896990.0,225210.0
43,1897010.0,225130.0
44,1897030.0,225070.0
45,1897130.0,225030.0
46,1897180.0,225010.0
47,1897280.0,224970.0
48,1897330.0,224940.0
49,1897400.0,224930.0
50,1897420.0,224920.0
51,1897430.0,224900.0
52,1897480.0,224880.0
53,1897520.0,224840.0
54,1897620.0,224760.0
55,1897640.0,224700.0
56,1897740.0,224660.0
57,1897770.0,224610.0
58,1897870.0,224570.0
59,1897920.0,224550.0
60,1898020.0,224510.0
61,1898070.0,224480.0
62,1898090.0,224400.0
63,1898110.0,224340.0
64,1898210.0,224300.0
65,1898260.0,224280.0
66,1898360.0,224240.0
67,1898410.0,224210.0
68,1898480.0,224200.0
69,1898500.0,224190.0
70,1898510.0,224170.0
71,1898560.0,224150.0
72,1898600.0,224110.0
73,1898700.0,224070.0
74,1898800.0,224060.0
75,1898850.0,224050.0
76,1898880.0,224030.0
77,1898900.0,223980.0
78,1898970.0,223970.0
79,1898990.0,223960.0
80,1899000.0,223940.0
81,1899070.0,223930.0
82,1899090.0,223920.0
83,1899170.0,223910.0
84,1899240.0,223860.0
85,1899270.0,223840.0
86,1899290.0,223830.0
87,1899340.0,223820.0
88,1899370.0,223800.0
89,1899390.0,223790.0
90,1899460.0,223780.0
91,1899540.0,223770.0
92,1899550.0,223750.0
93,1899570.0,223740.0
94,1899610.0,223720.0
95,1899630.0,223710.0
96,1899660.0,223690.0
97,1899710.0,223680.0
98,1899730.0,223670.0
99,1899760.0,223650.0
100,1899840.0,223640.0
101,1899860.0,223630.0
102,1899910.0,223620.0
103,1899920.0,223610.0
104,1899940.0,223600.0
105,1899960.0,223590.0
106,1900000.0,223570.0
107,1900080.0,223560.0
108,1900100.0,223530.0
109,1900180.0,223480.0
110,1900280.0,223440.0
111,1900310.0,223390.0
112,1900410.0,223350.0
113,1900460.0,223330.0
114,1900560.0,223290.0
115,1900610.0,223260.0
116,1900630.0,223180.0
117,1900650.0,223120.0
118,1900750.0,223080.0
119,1900800.0,223060.0
120,1900900.0,223020.0
121,1900950.0,222990.0
122,1901020.0,222980.0
123,1901040.0,222970.0
124,1901050.0,222950.0
125,1901100.0,222930.0
126,1901140.0,222890.0
127,1901240.0,222850.0
128,1901340.0,222840.0
129,1901390.0,222830.0
130,1901420.0,222810.0
131,1901440.0,222760.0
132,1901510.0,222750.0
133,1901530.0,222740.0
134,1901540.0,222720.0
135,1901610.0,222710.0
136,1901630.0,222700.0
137,1901710.0,222690.0
138,1901780.0,222640.0
139,1901810.0,222620.0
140,1901830.0,222610.0
141,1901880.0,222600.0
142,1901910.0,222580.0
143,1901930.0,222570.0
144,1902000.0,222560.0
145,1902080.0,222550.0
146,1902090.0,222530.0
147,1902110.0,222520.0
148,1902150.0,222500.0
149,1902170.0,222490.0
150,1902200.0,222470.0
151,1902250.0,222460.0
152,1902270.0,222450.0
153,1902300.0,222430.0
154,1902380.0,222420.0
155,1902400.0,222410.0
156,1902450.0,222400.0
157,1902460.0,222390.0
158,1902480.0,222380.0
159,1902500.0,222370.0
160,1902540.0,222350.0
161,1902620.0,222340.0
162,1902640.0,222310.0
163,1902720.0,222300.0
164,1902740.0,222290.0
165,1902750.0,222280.0
166,1902770.0,222270.0
167,1902820.0,222260.0
168,1902840.0,222250.0
169,1902850.0,222230.0
170,1902920.0,222220.0
171,1902940.0,222210.0
172,1902950.0,222190.0
173,1903020.0,222180.0
174,1903040.0,222170.0
175,1903090.0,222160.0
176,1903110.0,222150.0
177,1903190.0,222110.0
178,1903220.0,222090.0
179,1903240.0,222080.0
180,1903290.0,222070.0
181,1903320.0,222050.0
182,1903340.0,222040.0
183,1903410.0,222030.0
184,1903450.0,222010.0
185,1903500.0,221990.0
186,1903560.0,221970.0
187,1903580.0,221960.0
188,1903600.0,221950.0
189,1903610.0,221940.0
190,1903650.0,221920.0
191,1903710.0,221900.0
192,1903750.0,221880.0
193,1903800.0,221860.0
194,1903840.0,221820.0
195,1903940.0,221780.0
196,1904040.0,221770.0
197,1904090.0,221760.0
198,1904120.0,221740.0
199,1904140.0,221690.0
200,1904210.0,221680.0
201,1904230.0,221670.0
202,1904240.0,221650.0
203,1904310.0,221640.0
204,1904330.0,221630.0
205,1904410.0,221620.0
206,1904480.0,221570.0
207,1904510.0,221550.0
208,1904530.0,221540.0
209,1904580.0,221530.0
210,1904610.0,221510.0
211,1904630.0,221500.0
212,1904700.0,221490.0
213,1904780.0,221480.0
214,1904790.0,221460.0
215,1904810.0,221450.0
216,1904850.0,221430.0
217,1904870.0,221420.0
218,1904900.0,221400.0
219,1904950.0,221390.0
220,1904970.0,221380.0
221,1905000.0,221360.0
222,1905080.0,221350.0
223,1905100.0,221340.0
224,1905150.0,221330.0
225,1905160.0,221320.0
